Country code,Life Expectancy,Cigarette consumption,Alcohol consumption,Incidence of tuberculosis per 100000 per year,GDP per Capita (Current US$),Income Gini Coefficient,Current health expenditure per capita (current US$),Total Population,"Population Density, Number of People/km2","Ambient Air Pollution, Concentration of Fine Particulate Matter PM2.5 (Ug/M3)",Ambient and Household Air Pollution Attributable Death Rate (per 100 000 Population),People using safely managed sanitation services (% of population),"People using safely managed drinking water services, urban (% of urban population)",EPI score,cardiovascular-disease-death-rates,Diabetes prevalence (% of population ages 20 to 79),Acute lower respiratory infections,asthma-prevalence,Democracy Index,"Human Development Index, 2019",Corruption Perceptions Index 2021,UHC service coverage index
SSD,58.095,,,232,,0.441,22.63819,11381377,18.01,45.58,0.7,,,,231.5465565,6.5,19,4.048205813,,0.4330,11,32
SYR,73.651,25.9,0.19,19,,,,18275704,99.52,43.76,0.82,,,,491.1277144,14.9,1.8,3.444039181,1.43,0.5670,13,56
DMA,,11.6,7.23,47,7559.975039,,440.16986,72172,96.23,19.49,,,,51.2,267.1112016,11.7,1.4,7.177538303,,0.7420,55,67
FSM,68.002,,2.51,75,3476.650895,,415.19827,116255,166.08,11.28,11.96,,,37.4,560.2292898,15.6,4.9,3.265197099,,0.6200,,48
PRK,72.453,14.9,4.16,523,,,,25887045,214.99,32.01,11.72,,76.96,,352.9104299,8.6,2.9,3.914215158,1.08,,16,68
ATG,77.146,38.9,9.4,2.3,14900.7974,,760.26495,98728,224.38,18.62,0.41,,,52.4,227.3490399,11.7,0.5,5.879423757,,0.7780,,72
BLZ,74.754,32.1,6.37,23,4420.491372,,293.4126,404915,17.75,23.01,1.1,,,50,185.1893318,14.5,0.7,5.907713406,,0.7160,,67
BRN,75.998,48.6,0.46,83,31722.66014,,671.56268,441532,83.78,5.9,0.32,,,45.7,266.9986131,11.1,0.4,5.292491539,,0.8380,,77
ERI,66.679,38.3,2.11,81,,,25.26793,,35.66,48.03,0.7,,,31.7,327.6668569,6.5,6.7,4.537066129,2.03,0.4590,22,50
SOM,57.697,26.6,0,259,445.7790165,0.368,,16359500,26.08,32.03,0.57,31.52,,,349.4117094,6.5,25.6,4.536480382,,,13,27
YEM,66.181,30.4,0.03,49,690.75927,,,30490639,57.75,50.46,0.35,18.84,,,513.0910435,5.4,9.6,4.064819343,1.95,0.4700,16,44
BRB,79.308,26.3,10.37,2.4,17033.93719,,1143.32202,287708,669.09,23.08,1.74,,,53.2,186.0558984,14,0.3,7.238392363,,0.8140,65,74
BHS,74.053,24.7,4.8,9.1,28239.36671,,2004.61633,396914,39.65,17.37,0.62,,,56.2,247.0927454,8.8,1,5.935087104,,0.8140,64,70
CPV,73.166,2.7,,39,3445.756536,,177.89027,561901,139.43,34.78,0.47,,,41.9,259.2004182,2.1,2,2.560638839,7.65,0.6650,58,69
GRD,72.426,23.6,8.96,2.8,9928.621733,,534.27441,113015,332.4,22.72,1.57,,,47.9,270.6416087,12.6,0.3,7.42441992,,0.7790,53,70
LBY,73.082,20.9,0.027,59,6018.445207,,,6958538,3.95,54.25,0.66,21.62,,,282.0769339,8.7,1.2,3.891688097,1.95,0.7240,17,60
VCT,72.658,81.6,7.15,6.7,7996.614002,,354.80865,111269,285.31,22.2,1.1,,,53.2,292.1938766,8,0.7,5.946592086,,0.7380,59,73
WSM,73.45,20,2.82,6.1,3939.113696,,271.91577,200144,70.72,11.55,1.29,47.72,,36.4,406.178623,9.2,1.6,3.081640053,,0.7150,,53
SLB,73.132,3.4,1.74,65,2336.968134,,111.90449,703995,25.15,11.88,1.15,,,35,817.6601398,19.8,2.8,3.567910677,,0.5670,43,50
SDN,65.53,17.4,,63,764.3410034,,46.92884,44909351,24.29,55.37,0.38,,,27.6,466.997232,18.9,9,4.346955462,2.47,0.5100,20,44
TLS,69.712,1.4,0.53,508,1457.825128,,92.67004,1343875,90.37,19.26,12.32,,,35.1,368.6796571,8.6,9.7,2.98991322,,0.6060,41,53
TON,71.018,11.5,0.43,10,,,242.37277,106759,148.28,10.79,11.54,33.8,50.8,43.8,231.2223331,15,1.8,3.834313623,,0.7250,,56
CMR,59.626,13.3,5.52,174,1661.70211,,53.99585,27224262,57.59,72.79,0.42,,,30.2,274.4164765,5.5,12.3,2.38750358,2.56,0.5630,27,44
MYS,76.306,15.2,0.93,92,11371.09902,,436.61203,32776195,99.76,16.04,1.38,,,35,255.5445432,19,0.4,2.784241424,7.24,0.8100,48,76
OMN,78.078,33.5,0.92,7,16439.29645,,624.74445,5223376,16.88,41.12,0.32,,,30.7,486.2980457,13.8,0.8,4.222764307,3,0.8130,52,69
TJK,71.301,3.8,0.88,84,897.0879,,61.87225,9749625,70.25,46.15,1.01,,,37.1,689.8812588,6.6,6.2,2.39036008,1.94,0.6680,25,66
TKM,68.313,15.2,3.09,47,,,500.00644,6117933,13.02,21.77,0.5,,97.08,37,554.8286378,6.7,7.8,2.142837111,1.66,0.7150,19,73
VEN,72.066,19.6,3.56,47,,,338.82538,28704947,32.54,17.01,1.34,23.07,,46.4,222.6939784,9.6,3.2,4.061778833,2.11,0.7110,14,70
KWT,75.586,21.8,0,19,,,1758.67419,4328553,242.9,60.75,0.7,100,,42.4,184.5761591,24.9,0.5,4.468881806,3.91,0.8060,43,70
JAM,74.586,15.1,4.16,2.4,4586.65051,,327.40353,2973462,274.56,13.4,1.23,,,45.6,199.5773018,11.1,0.6,5.944424607,7.13,0.7340,44,70
AFG,65.173,5.2,0.013,193,,,65.80603,39835428,61.02,56.91,0.95,,36.38,43.6,583.2145182,10.9,10.1,4.442284384,0.32,0.5110,16,37
BIH,77.545,23.4,7.81,26,6916.438315,,553.82294,3263459,63.74,27.75,13.28,,,39.4,343.5467505,9.1,0.3,4.77432192,5.04,0.7800,35,65
BDI,61.916,11.2,7.45,103,236.7954142,,20.56754,12255429,477.24,38.9,0.41,,,30.5,296.8980095,6.5,8.8,4.220407809,2.13,0.4330,19,44
COM,64.525,4.9,1.15,35,1494.687693,,72.3238,888456,477.41,20.55,0.36,,,42.5,268.9540289,11.7,12.1,4.2077693,3.2,0.5540,20,44
COG,64.804,14.3,,379,2213.880863,,48.55877,5657017,16.57,46.64,0.34,,58.63,40.1,355.6284644,5.5,5.7,3.792059556,2.79,0.5740,21,40
GNQ,59.057,25.9,6.92,280,8462.28633,,254.8911,1449891,51.69,53.24,0.74,,,44.8,261.1816068,5.5,12.9,3.095944068,1.92,0.5920,17,43
GUY,70.023,31.8,5.33,79,9374.80457,,325.88516,790329,4.01,22.38,0.91,,,38.5,447.5716745,11.7,3,6.423492678,6.25,0.6820,39,74
HTI,64.315,6.2,3.02,168,1814.674048,,56.9944,11541683,418.78,15.02,10.12,,,26.1,449.1137662,8.9,14.9,7.244967621,3.48,0.5100,20,47
KIR,68.611,12.9,2.32,425,,0.278,172.30574,121388,149.86,10.64,102.8,26.66,21.11,49,554.5488101,22.1,8.2,4.9015358,,0.6300,,51
MDV,79.208,22.8,2.78,37,8994.641352,0.293,854.37061,543620,1812.07,7.8,0.24,,,37.4,205.0972239,9.2,0.6,2.53403107,,0.7400,40,69
MRT,65.129,41.8,0,87,1723.013866,,57.88485,4775110,4.63,47.42,0.28,,,28.1,223.9858195,2.1,12,4.816185687,4.03,0.5460,28,40
MOZ,61.387,5.4,2.69,368,500.4448085,,39.46094,32163045,40.9,21.3,0.55,,,31.7,350.7733525,3.3,9.1,4.393819378,3.51,0.4560,26,47
NAM,64.045,5.6,3.15,460,4729.270937,,427.25623,2587344,3.14,25.36,0.72,,,50.9,316.0695159,6.7,6.5,2.16871585,6.52,0.6460,49,62
PNG,64.725,14.5,2.12,441,2916.357349,,65.08072,9119005,20.14,12.29,1.34,,,24.8,373.2943162,16.7,7.4,4.685459203,6.1,0.5550,31,33
LCA,76.343,26.8,9.59,2.2,9570.995457,0.512,502.1817,184401,302.3,22.4,0.65,,,49.4,221.4753542,11.7,1.2,7.069841957,,0.7590,56,72
SYC,77.23659,4.2,8.84,11,13306.7256,0.321,839.77332,99202,215.66,20.18,1.46,,,55.6,249.9383467,8.5,0.9,2.612633522,,0.7960,70,70
TTO,73.628,14.8,6.52,18,15243.12287,,1167.93311,1403374,273.56,24.11,0.93,,,47.8,227.2979983,12.7,1.9,4.8826203,7.16,0.7960,41,73
SGP,83.7439,18.1,2,46,72794.00302,,2632.71387,5453566,7691.91,19.08,0.73,100,100,50.9,93.68209649,11.6,0.2,,6.23,0.9380,85,86
ALB,78.686,19.9,6.82,15,6494.38571,0.308,,2811666,102.62,18.2,10.71,47.69,,47.1,314.0350434,10.2,0.8,3.021242787,6.11,0.7950,35,62
BHR,77.419,17,1.13,13,22232.32523,,940.39569,1748295,2241.4,70.82,1.08,91.23,,42,240.8929566,11.3,0.1,3.797039498,2.52,0.8520,42,71
KHM,70.054,10.4,7.84,274,1590.95666,,113.31044,16946446,96,25.61,18.3,,57.1,30.1,312.8228548,7.3,4.1,2.47424802,2.9,0.5940,23,61
KAZ,71.37,20.5,5,69,10041.48984,0.278,272.96524,19002586,7.04,13.82,1.15,,,40.9,476.0100809,6.6,1.2,1.698546445,3.08,0.8250,37,76
KEN,66.991,12,2.15,259,2006.83224,,83.41163,54985702,96.61,28.58,0.48,,57.7,30.8,239.7538767,4,6.6,2.811582859,5.05,0.6010,30,56
MDA,72.006,36.3,12.85,74,5314.53146,0.26,284.30713,2573928,89.61,16.25,1.81,,,42.7,404.955079,5.6,2.8,2.943723111,6.1,0.7500,36,67
UZB,71.848,24.7,2.61,66,1983.06472,,98.57317,34915100,79.25,28.46,0.56,,86.12,38.2,945.9730498,7,2.7,3.231887112,2.12,0.7200,28,71
VNM,75.493,13.9,7.93,176,3694.01905,0.357,180.71819,98168829,316.6,29.63,10.44,,,20.1,303.9046642,6.1,2.9,3.230328636,2.94,0.7040,39,70
ZMB,64.194,7.2,4.46,319,1120.63017,,69.32438,18920657,25.45,27.44,0.35,,50.49,38.4,339.5543642,11.9,8.1,2.348967125,5.72,0.5840,33,55
JOR,74.655,12.9,0.52,4.7,4405.83942,,334.04422,10269022,115.67,33.01,0.31,82.27,,43.6,248.8875416,15.4,1.6,4.287559213,3.49,0.7290,49,60
AZE,73.123,17,0.98,58,5384.035,,193.10884,10145212,122.74,19.93,0.76,,96.25,38.6,688.078219,5.6,3,2.09179039,2.68,0.7560,30,65
LBN,79.004,27.6,1.53,13,2670.44196,,663.05109,6769151,661.7,30.62,1.6,16.28,,32.2,322.2963555,8,0.5,4.717597301,3.84,0.7440,24,72
DOM,74.257,13.6,6.68,41,8603.78991,0.396,491.05936,10953714,226.74,13.73,1.68,,,42.2,311.1492,10.5,3.2,4.035865456,6.45,0.7560,30,66
FJI,67.561,12.5,3.68,66,5085.97164,0.307,235.67502,902899,49.42,10.84,1.5,,,31.3,429.3411865,17.7,3.3,3.420794615,5.61,0.7430,55,61
AGO,61.487,17.9,7.83,350,2137.909393,0.513,71.326,33933611,27.22,32.39,0.25,,,30.5,304.7334143,4.6,13.5,3.200903732,3.37,0.5810,29,39
BEN,62.077,4.8,2.23,55,1428.447177,0.378,29.12529,12451031,110.42,39,0.27,,,29.6,278.848458,1.1,13.2,2.837943608,4.19,0.5450,42,38
BWA,69.793,14.6,6.61,236,7347.552382,,481.53305,2397240,4.23,23.09,0.35,,83.07,54,334.7648475,5.2,3.4,2.692325554,7.73,0.7350,55,54
BFA,61.981,1.7,11.05,46,918.1525819,0.473,42.34453,21497097,78.57,42.94,0.53,,,35.5,289.1908844,2.1,10.5,2.617856789,3.84,0.4520,42,43
GAB,66.69,24.7,8.08,527,8016.990495,0.38,215.01915,2278829,8.84,44.39,0.79,,,49.7,301.3134308,5.5,6.6,2.78755339,3.4,0.7030,31,49
GTM,74.529,10.5,1.63,27,5025.575573,,271.02127,17109746,159.67,24.07,0.97,,65.41,28,173.1863541,13.1,4.1,2.996330983,4.62,0.6630,25,57
GIN,61.962,1.8,1.09,179,1174.352972,0.296,43.03782,13497237,54.93,26.06,0.35,,,31.6,295.6353868,2.1,15.6,3.427976247,2.28,0.4770,25,37
LBR,64.423,12.6,5.37,314,673.0890671,0.353,52.56287,5180208,53.78,17.98,0.38,,,24.9,256.9856486,2.1,10.9,2.361956499,5.43,0.4800,29,42
MUS,74.17707,25,4.78,12,8812.108249,0.368,685.94562,1266060,623.67,14.46,0.79,,,44.8,208.4959113,22.6,1.3,2.8820892,8.08,0.8040,54,65
NIC,74.697,16.2,5.07,42,2090.753461,,160.75879,6702379,55.7,17.61,1.73,,67.3,37.7,236.737503,9.3,3.3,4.017820393,2.69,0.6600,20,70
RWA,69.329,36.7,7.96,58,833.8298757,,51.39912,13276517,538.16,43.21,0.47,,45.54,32.8,256.6763837,6.5,5,8.457004048,3.1,0.5430,53,54
VUT,70.623,4.7,2.1,38,3127.446248,0.323,104.24961,314464,25.8,11.65,1.61,,56.58,36.9,567.9797217,15.6,4.6,3.135942891,,0.6090,45,52
CUB,78.892,29.1,6.26,6.3,9477.85287,,1031.92175,11317498,109.03,19.71,11.94,36.64,94.9,47.5,197.3209512,7.6,0.6,7.378500647,2.59,0.7830,46,80
IND,69.887,8.2,5.61,188,2277.43435,,63.74832,1393409033,468.66,90.87,134.1,45.91,94.1,18.9,256.3671126,9.6,5.6,2.746207295,6.91,0.6450,40,61
QAT,80.363,13.9,1.51,34,61275.99827,,1807.15393,2930524,255.05,91.19,0.51,97.2,100,33,337.2976394,19.5,0.3,3.688142571,3.65,0.8480,63,74
KOR,83.42683,25,8.45,49,34757.72007,0.331,2624.5332,51744876,530.61,25.04,3.59,99.94,99.7,46.9,95.40529848,6.8,0.1,,8.16,0.9160,62,87
SAU,75.28,35,0,8.1,23585.88563,,1316.26025,35340680,16.44,87.95,0.51,59.11,97,37.9,332.0878736,18.7,0.4,2.768509509,2.08,0.8540,53,73
DZA,77.063,24.4,0.63,59,3765.03463,,248.20587,44616626,18.73,38.88,0.68,17.61,73.69,29.6,396.9652171,7.1,3.2,3.409023002,3.77,0.7480,33,75
BLR,74.22683,29.3,10.96,26,7303.69627,0.244,399.39709,9340314,46.02,18.77,0.9,73.9,,48.5,463.1077799,5.6,0.2,3.688884985,2.41,0.8230,41,74
BGR,73.60732,16.9,12.46,19,11634.97102,0.403,697.89636,6899125,63.55,19.15,11.57,72.23,,51.9,541.0826989,7.4,1.1,3.865832912,6.64,0.8160,42,70
EGY,72.15,19.1,0.14,11,3876.35959,0.315,149.84032,104258327,104.73,87,0.94,67.06,,35.5,518.1929495,20.9,2.6,3.653140342,2.93,0.7070,33,70
IRQ,70.748,21.6,0.37,27,5048.38781,,253.31464,41179351,94.86,61.64,0.92,42.88,64.6,27.8,436.1908097,10.7,4.5,3.618743018,3.51,0.6740,23,55
LVA,75.3878,16.1,13.19,23,20642.16792,0.355,1166.79785,1883162,30.33,13.43,1.42,83.41,,61.1,356.8375908,5.9,0.3,3.440752256,7.31,0.8660,59,72
MAR,76.901,14,0.49,98,3496.7583,,174.22377,37344787,83.68,32.59,0.53,39.32,90.72,28.4,459.5011136,9.1,2.7,3.053506342,5.04,0.6860,39,73
SVK,76.86585,29.7,11.06,3.2,21087.8461,0.232,1342.07483,5447247,113.3,17.56,2.61,81.93,100,60,298.900761,5.8,0.6,3.133854544,7.03,0.8600,52,77
SVN,80.53171,24.7,12.11,4.1,29200.81988,0.244,2219.10059,2107007,104.64,16.02,10.41,71.55,99.5,67.3,151.1431962,5.8,0,4.960977269,7.54,0.9170,57,80
TZA,65.815,7.8,12.04,222,1135.53967,0.405,40.3433,61498438,69.43,29.08,0.22,26.33,,34.2,267.1502059,12.3,7.5,6.074772255,5.1,0.5290,39,46
THA,77.344,12.5,8.5,150,7233.38886,0.35,296.1651,69950844,136.92,26.26,10.64,25.93,,38.1,118.6656104,9.7,0.9,3.585017861,6.04,0.7770,35,83
TUN,76.891,18.1,2.04,36,3924.34393,,233.05931,11935764,76.83,37.66,0.36,80.76,83.92,40.7,317.876613,9.6,1.1,3.852451702,5.99,0.7400,44,70
URY,78.056,25.4,6.92,32,17020.64864,0.402,1660.95288,3485152,19.91,9.27,1.54,,94.59,37.4,161.5586285,9,0.4,6.128266341,8.85,0.8170,73,79
ARM,75.224,23.1,4.67,23,4670.0088,0.252,523.99908,2968128,104.25,32.53,10.02,69.33,,48.3,345.4949644,5.6,1.4,2.236574259,5.49,0.7760,49,69
ETH,66.953,6.2,2.2,132,943.96568,,26.7422,117876226,104.38,38.98,0.86,6.68,39.04,31.8,225.3853895,5,9.4,2.848423391,3.3,0.4850,39,38
